id	d0	d1	d2	v0	v1	v2	s0	s1	s2
CBOS401693	4	3	2	3	3	3	4	4	4
CCBI548890	3	3	3	3	1	3	4	4	3
CCDY689744	0	0	0	0	0	0	0	0	0
CCPN245280	3	4	3	2	3	3	2	3	0
CCVW661458	0	2	0	2	2	1	0	0	3
CCYD543222	3	3	3	4	4	3	4	3	3
CDEC867998	4	2	3	1	1	1	1	1	1
CDUS946930	2	1	0	3	4	1	2	3	3
CEEC518615	2	1	2	2	3	3	1	1	2
CEIL937332	3	2	3	3	3	3	3	3	3
CEQK685863	4	1	3	0	2	1	1	1	1
CETV400986	4	2	1	4	3	3	2	4	4
CEXM782526	4	3	0	3	4	3	2	3	2
CFKJ757534	5	5	5	4	5	5	4	3	4
CFLI812036	4	3	2	4	3	3	2	3	3
CFNK629440	3	3	3	4	4	3	0	3	2
CFTG743472	4	3	3	4	4	3	3	3	3
CFWW833829	2	1	1	3	4	4	4	4	3
CGER622884	3	1	1	2	2	1	1	1	2
CGOB295238	5	4	4	4	4	4	4	3	3
CGSP936444	3	0	2	4	2	2	4	4	5
CGTP629169	3	2	3	3	2	3	3	3	3
CGWH667128	4	3	2	5	4	2	4	4	4
CGYO564839	2	2	2	2	3	2	3	3	3
CHQC610379	0	3	1	3	3	2	3	3	3
CHUC407904	3	3	2	2	3	2	1	2	2
CHXU126790	3	2	2	4	3	2	3	1	1
CHZC735483	4	0	3	2	3	3	4	4	3
CIHM782468	5	4	4	1	4	4	4	3	4
CIJT977788	1	5	2	3	2	4	4	4	4
CIPT402205	2	2	2	4	3	4	3	3	3
CIVG550828	3	2	1	3	3	2	3	2	2
CIVV469409	5	3	5	4	2	3	3	3	5
CIZZ472046	4	2	2	4	4	4	2	2	3
CJIO708848	3	3	0	4	3	3	4	4	3
CJKO153186	5	3	3	4	3	2	3	3	3
CLBF158665	3	0	1	3	2	1	3	4	2
CLLN485205	1	1	1	1	1	1	1	1	1
CLLS748687	0	0	0	3	3	3	2	3	0
CLTF358168	1	1	1	4	3	3	4	3	2
CMPC748347	4	5	3	4	3	3	3	3	4
CMQJ967626	3	2	3	4	3	3	3	3	3
CMSS833075	3	0	0	1	3	3	0	3	3
CMUI165843	1	1	0	4	2	2	3	3	3
CMVE760383	5	2	4	5	4	4	2	4	4
CMVZ924032	2	5	3	4	1	1	3	3	5
CMZU768319	2	1	2	3	3	2	4	4	3
CNAZ711219	4	3	4	5	3	3	5	5	3
CNEX293743	3	2	1	4	4	4	3	3	3
CNVM926288	3	3	4	3	3	3	4	4	4
CNXJ698231	3	4	3	3	2	1	4	4	4
COCY869814	1	1	1	1	1	1	4	4	4
COJW609433	4	3	3	4	3	4	3	4	4
COLZ165658	4	4	4	4	4	4	3	4	4
COMW181690	3	3	3	4	4	4	3	4	3
COUP401535	2	1	0	2	1	1	0	2	2
CPNG969060	2	3	3	4	1	3	3	4	4
CPPM669896	1	1	0	3	2	2	3	3	3
CPYL980884	3	2	1	2	2	3	2	2	1
CQEU259676	4	0	4	4	4	0	4	4	4
CQFF847013	3	2	3	4	3	3	3	4	3
CQFJ350746	2	0	0	4	1	0	1	4	4
CQIB763245	4	3	1	3	2	4	3	3	3
CQKQ462141	3	2	0	3	3	2	3	4	3
CQOH292866	3	4	2	4	3	3	4	4	4
CRCG832306	4	1	2	4	4	3	4	4	4
CRJV856883	3	4	3	5	3	3	3	5	5
CRNE977539	4	1	3	4	4	3	4	4	4
CRQE382625	1	1	1	3	3	3	4	4	3
CRSY219097	3	3	4	4	3	3	4	4	3
CSIL987514	3	2	3	3	4	4	1	4	2
CSJG861378	4	1	0	4	4	3	3	3	3
CSKI150068	2	1	0	4	4	3	3	4	2
CSLA110180	0	0	0	4	3	3	3	4	2
CSSL526818	2	2	1	4	3	2	3	4	3
CSVL588200	1	3	2	1	1	2	1	1	2
CSWG657083	5	2	3	3	1	0	0	1	2
CSYL271355	0	0	0	0	0	0	0	0	0
CTKZ359162	4	3	2	4	5	5	3	3	4
CTYZ573308	3	2	3	1	1	2	1	2	3
CUUZ958319	4	3	2	1	3	5	2	2	2
CUVN746173	4	4	3	4	4	4	4	4	4
CVCC142407	4	2	4	2	2	3	3	4	4
CVND321322	3	2	4	4	5	3	3	1	3
CVNV643458	2	3	1	4	3	3	3	4	4
CVRJ906123	3	2	3	4	4	3	3	4	2
CWCS551430	3	3	3	3	3	3	3	3	3
CWIB746528	3	0	3	3	3	4	1	0	3
CWMD218424	3	2	1	3	2	2	3	3	3
CWOG374970	3	1	2	5	3	1	4	3	3
CWSL421375	4	1	0	4	4	2	1	3	3
CWXB492201	3	4	5	4	3	4	4	3	3
CXAP990366	4	3	3	5	3	2	2	4	3
CXBK577262	3	3	3	4	4	3	3	4	4
CXFZ754991	2	0	1	3	1	1	2	3	3
CXHY230694	4	3	5	3	4	3	4	4	3
CXKL809077	4	2	1	3	3	2	3	3	3
CXTI129571	3	3	1	2	0	3	4	2	1
CXUA883715	4	1	0	2	0	4	4	4	3
CXUI704675	2	2	3	4	3	4	3	3	3
CYAF753377	5	4	5	4	2	4	4	4	5
CYCK120003	4	3	3	3	3	1	4	4	4
CYCY293758	1	2	0	2	1	1	1	2	3
CYGS559027	4	0	2	0	0	1	2	1	0
CYIR597316	2	2	1	4	3	2	1	2	2
CYKT622531	2	2	3	4	3	4	4	4	3
CYKU779617	4	4	4	4	4	3	3	4	3
CYRC332757	3	3	0	1	1	1	1	1	1
CZAC716901	4	3	3	2	4	3	1	3	2
DAEE889860	3	0	0	3	3	4	2	3	4
DAFJ455001	1	1	2	3	2	2	1	1	1
DAIN606454	5	4	4	1	1	4	1	1	2
DAVV882943	1	0	0	2	1	0	1	1	3
DBDV459252	5	3	3	3	3	4	4	4	5
DBLF882458	3	1	1	3	2	2	3	3	4
DBNM512848	2	1	1	2	2	3	3	4	3
DBPS637464	4	4	3	3	3	4	4	4	4
DBRT961801	3	2	4	3	3	3	3	3	3
DBTH848438	4	5	5	2	3	3	4	4	3
DCBG940194	1	2	0	1	3	3	0	1	1
DCJF206944	3	4	4	5	5	5	3	3	4
DCNB985481	1	5	3	1	1	1	1	1	0
DCNT378532	4	0	0	4	3	1	3	4	4
DCRO973976	2	0	1	3	3	1	0	1	1
DCTW986902	0	0	0	2	1	1	1	2	2
DDAJ158899	4	4	3	1	4	4	4	4	4
DDEX485313	3	3	3	2	2	2	2	2	2
DDFO618480	4	4	4	3	4	4	4	4	5
DDGN973405	2	2	0	2	1	3	1	1	0
DDOW971510	3	2	2	3	3	2	3	3	3
DDRU345494	3	0	3	2	1	1	2	4	4
DDTX424547	2	2	0	3	1	3	3	3	3
DDUQ736844	0	0	0	1	0	0	1	2	1
DDZV529507	2	1	0	4	3	1	4	4	4
DEBY463370	3	3	2	4	3	3	3	3	3
DEKC741671	4	3	3	3	4	4	3	3	4
DEKZ314634	4	4	4	1	3	3	3	3	2
DEUC474846	2	2	2	3	3	3	3	4	3
DEVC137537	3	5	3	3	2	3	4	4	4
DEVG629546	2	0	1	3	1	1	3	3	2
DFAW493780	4	4	4	1	1	2	1	2	3
DFCQ275961	4	5	5	3	4	4	0	3	3
DFGI417231	3	3	4	4	3	4	3	4	4
DFIY891358	1	1	0	3	1	1	4	4	4
DFQS130078	3	3	2	3	3	3	3	3	3
DFVR299987	3	3	4	4	3	3	4	4	4
DGAR130733	3	4	3	4	4	4	3	3	3
DGLM914668	0	0	0	2	2	1	3	3	2
DGOV407588	3	3	1	2	2	3	3	1	2
DGQA129365	3	5	4	1	1	1	1	1	1
DGUV571407	4	3	4	4	5	5	2	3	3
DGWI102763	4	5	5	4	4	5	3	2	2
DHLX293372	2	0	2	2	2	3	1	0	1
DHYM569462	4	4	5	4	5	5	5	4	4
DIKG521656	3	2	1	3	4	4	3	4	4
DITH413932	2	0	1	2	3	4	0	1	2
DJEH440252	1	1	0	3	3	1	3	3	3
DJEY865192	2	2	1	1	0	0	0	2	1
DJHK875136	3	0	0	4	4	4	2	1	0
DJIE482904	2	4	3	1	3	2	1	3	4
DJJG250744	2	2	2	3	2	2	3	3	2
DJLZ871019	5	5	5	3	1	3	3	3	2
DJPF662731	2	1	1	2	4	3	2	1	2
DJSR404067	3	1	2	2	4	4	2	3	0
DJYY131471	4	0	1	5	3	3	2	3	4
DKAY579730	2	1	3	3	2	3	3	3	1
DKGU987654	5	4	4	3	3	4	4	4	4
DKMH400593	3	2	2	4	3	2	4	3	4
DLAH797110	3	3	3	4	4	4	4	4	3
DLJX578861	2	2	2	4	3	3	2	4	4
DLPY712907	3	2	1	5	2	2	3	4	4
DLSM389289	2	1	3	4	3	3	3	4	3
DMAK362853	4	5	5	2	2	4	3	4	4
DMIT831935	4	3	4	4	4	3	4	4	4
DMLC912433	3	2	1	2	3	3	1	1	2
DMPY311375	3	1	0	3	3	3	2	3	1
DMSZ724613	4	0	0	4	4	4	4	4	3
DMTN207438	3	3	3	3	3	3	4	3	4
DMTQ315426	4	3	3	1	1	0	1	4	3
DNDA213030	3	2	2	4	4	4	3	3	3
DNTS163029	2	2	2	4	3	3	4	4	3
DNTZ146514	3	4	2	1	2	3	0	1	1
DNUZ138690	4	5	5	4	4	4	5	4	4
DNVY582541	2	2	3	3	3	2	4	4	3
DOCE736929	3	2	0	4	4	4	1	3	3
DOEI520744	4	3	4	4	4	4	4	3	4
DOHS198486	4	3	3	4	4	3	4	4	4
DOIU702699	2	0	0	3	3	1	3	1	1
DOOY690168	3	1	2	2	1	0	2	2	3
DOPU442177	3	0	2	3	3	1	1	0	1
DOVS872932	3	2	3	2	3	3	2	1	2
DOVV595926	1	0	1	2	1	1	3	2	3
DPCZ693703	2	1	1	3	3	3	4	4	3
DPHX932145	2	2	1	3	4	4	3	3	3
DPJY890793	1	4	2	3	4	3	2	1	0
DPLY595192	1	0	0	0	1	3	1	1	1
DPMG975149	3	4	3	3	5	5	4	1	1
DPSV400114	2	2	0	0	3	1	2	3	0
DPVH735876	5	3	4	4	5	4	4	3	4
DPXE154069	1	0	0	3	1	2	1	1	3
DQIJ729607	3	4	4	1	2	2	2	4	4
DQMB866683	2	2	2	3	2	1	3	3	2
DQOF865432	4	5	5	5	5	4	4	5	5
DQPW408975	3	4	4	4	4	4	4	4	4
DQQY643159	2	1	0	2	2	2	3	1	1
DQRQ174508	0	0	0	0	0	0	0	0	0
DQSP868337	3	2	3	4	4	4	2	2	2
DQWF294356	3	4	3	3	3	3	2	2	3
DRIO524826	3	3	3	3	3	3	3	3	3
DRKZ975457	3	3	3	2	2	2	4	3	4
DRLO549120	3	0	0	3	2	3	4	4	3
DRTI818726	4	3	3	4	2	3	4	4	3
DRWD920713	2	1	2	3	4	3	1	1	0
DRXB570241	3	4	3	2	3	4	2	3	4
DSNK616504	4	0	3	2	5	4	2	3	3
DSQH887659	3	3	1	2	3	3	2	3	3
DTGE142726	3	1	3	4	3	2	4	4	2
DTIE791006	4	1	2	4	4	4	4	4	4
DTJM509968	0	1	0	4	3	3	3	4	0
DTKB636227	3	1	1	0	0	0	3	2	1
DTPK263641	0	0	0	0	0	0	0	0	0
DTRR513741	3	2	3	3	3	3	2	3	3
DUMA146261	3	3	3	3	3	3	4	4	3
DUTX357503	0	0	0	3	3	2	4	4	3
DVAZ216629	3	3	3	4	3	4	4	4	4
DVNP310353	3	3	3	3	4	3	3	3	3
DVPQ316047	3	2	2	2	3	1	1	0	1
DVWO420167	0	1	0	4	1	0	3	3	1
DVXS690248	0	0	0	0	0	0	0	0	0
DVYC207631	3	3	3	5	4	4	4	4	4
DVZE422804	3	1	2	4	3	2	3	3	2
DWEH990195	2	1	1	3	4	4	3	3	3
DWNF179255	3	3	4	4	4	3	4	3	4
DWPF917292	2	2	2	2	2	1	3	3	2
DWPH200784	3	4	3	3	4	4	3	3	3
DWVL519901	1	2	1	3	3	2	3	4	2
DWXY352760	3	3	3	4	4	3	4	4	4
DWYB348051	3	3	3	3	3	3	0	1	3
DXCS922789	3	1	3	1	1	1	0	1	1
DXDO421594	4	4	4	4	4	4	4	4	4
DXDR947788	3	2	2	2	1	0	2	3	3
DXTO596751	1	1	1	2	3	2	2	2	2
DYGN452904	1	1	1	4	4	3	4	4	4
DYKT493947	1	1	1	2	3	1	2	2	4
DYKV558123	3	0	0	4	2	1	3	3	3
DYLU800558	0	2	0	2	0	0	2	3	3
DZCC809736	4	4	4	4	4	4	4	5	5
DZGF760954	4	3	3	3	3	4	4	4	4
DZSJ153803	3	3	3	3	3	3	3	3	3
DZST671087	3	2	3	4	3	5	3	3	4
DZWS379469	0	0	0	2	1	0	1	1	1
DZXW648467	4	2	4	3	3	3	4	4	4
DZZP258242	2	2	2	3	2	2	1	3	3
EAEN100867	0	1	1	2	1	0	3	3	4
EAOG719708	1	0	0	2	2	2	2	3	3
EAPA834498	4	1	1	4	3	3	4	4	2
EAZZ978652	2	3	2	4	3	3	3	3	3
EBQS946157	3	2	1	4	2	1	3	3	4
EBXB670939	3	3	2	5	5	5	4	4	3
ECDT719253	3	1	1	2	1	1	2	2	2
ECHU414359	3	3	3	4	4	3	4	4	4
ECQE549792	0	0	0	0	0	0	0	0	0
ECVJ632470	4	2	4	3	3	1	3	4	2
EDAN481065	3	3	3	4	3	3	1	3	4
EDXW898356	3	4	3	5	4	4	4	3	4
EECV409736	4	2	1	4	4	3	1	3	3
EEJF464174	4	1	3	4	3	3	3	4	3
EEMZ349509	3	2	3	3	3	2	3	4	4
EEWD336425	0	0	0	1	0	0	2	1	0
EFAY749148	4	3	4	3	3	4	1	1	2
EFGM346139	4	3	2	4	3	3	4	3	5
EFIA611767	5	3	3	5	5	5	3	4	5
EFLW874086	3	3	1	4	4	3	4	4	3
EGBQ632851	4	2	3	4	3	2	4	4	3
EGLW279236	3	3	3	3	3	3	3	3	3
EHAD802496	2	2	2	2	2	2	2	2	2
EHAR295709	3	3	2	3	3	1	3	3	3
EHGK339259	4	4	5	5	5	4	3	3	3
